Variable:,tasmin
Country:,Latvia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.63,-10.92,-6.47,0.68,5.92,11.29,13.72,13.33,7.79,4.36,-2.88,-7.78
1902,-5.98,-10.04,-5.62,-2.44,4.23,8.97,10.31,9.98,6.76,1.26,-3.69,-10.74
1903,-5.82,-4.56,-0.98,1.96,6.97,11.20,12.17,10.84,8.43,1.75,-0.49,-5.35
1904,-5.85,-6.75,-7.78,0.57,4.05,7.94,10.45,10.80,6.61,3.79,-2.33,-5.79
1905,-10.64,-6.11,-3.41,-0.36,6.98,12.71,12.70,11.18,7.35,1.41,-0.38,-4.73
1906,-5.89,-5.71,-5.00,1.99,9.18,10.34,13.41,11.32,6.55,3.07,1.16,-7.19
1907,-11.03,-8.41,-5.78,-0.14,5.60,9.66,11.55,9.91,6.59,6.48,-2.57,-11.57
1908,-7.32,-5.66,-6.54,0.32,4.84,9.26,12.24,11.80,7.76,2.79,-4.63,-6.68
1909,-7.26,-12.03,-4.92,-1.51,2.57,9.14,10.79,11.34,9.15,6.45,-3.70,-3.45
1910,-5.59,-3.04,-1.69,2.41,7.69,11.04,11.54,10.33,7.51,2.05,-2.38,-2.56
1911,-6.10,-11.02,-4.81,0.76,7.12,8.71,10.82,12.64,8.51,3.02,0.63,-4.50
1912,-13.52,-10.67,-0.85,-0.37,3.94,10.76,12.93,12.30,6.26,0.16,-1.70,-1.78
1913,-7.95,-6.37,-2.01,2.83,5.34,9.30,12.63,12.39,7.90,2.39,1.27,-5.14
1914,-9.00,-2.43,-2.70,1.84,6.21,10.49,14.88,10.90,6.80,1.18,-2.79,-1.83
1915,-7.34,-6.41,-9.39,0.24,4.43,8.54,12.48,11.11,7.52,0.72,-2.55,-9.73
1916,-6.18,-5.98,-5.15,1.91,4.96,8.21,12.46,9.92,6.39,1.91,0.41,-4.93
1917,-11.25,-13.31,-11.50,-0.58,3.82,11.85,11.92,13.35,8.50,4.41,0.42,-6.38
1918,-9.16,-7.85,-6.25,2.95,4.34,7.92,12.64,11.00,7.78,5.01,-0.21,-5.84
1919,-6.30,-9.11,-6.72,0.36,5.31,9.53,12.93,10.19,8.58,1.81,-6.40,-8.05
1920,-8.97,-4.92,-2.09,4.18,7.25,8.99,13.23,11.54,8.39,1.40,-0.60,-6.37
