Variable:,tasmin
Country:,Malta
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,7.97,7.71,10.86,13.15,13.37,18.35,21.35,21.57,20.89,17.21,13.39,11.04
1902,8.84,10.71,10.39,13.42,12.79,17.25,21.55,21.97,20.89,17.61,13.07,10.31
1903,9.47,8.81,10.19,10.95,14.59,16.55,19.87,21.37,20.39,17.69,13.17,11.34
1904,8.89,10.51,10.67,12.95,14.77,19.05,21.67,21.49,19.59,16.71,11.87,10.01
1905,6.79,6.81,9.91,12.75,14.14,17.65,21.57,22.27,21.41,15.41,14.61,10.71
1906,8.74,7.44,10.24,11.67,13.77,17.59,20.51,21.97,19.69,16.59,13.91,9.44
1907,7.19,6.84,7.57,10.85,14.51,17.15,20.47,21.87,20.17,18.51,14.65,11.61
1908,9.11,8.59,9.79,10.59,16.29,17.97,20.57,21.47,19.11,17.37,12.75,9.84
1909,7.89,6.99,10.61,12.15,14.09,17.55,19.57,21.27,20.34,17.59,13.49,12.04
1910,8.99,8.81,9.39,11.87,13.29,17.25,19.85,20.99,18.29,18.57,13.37,11.89
1911,7.77,7.87,10.47,11.45,13.75,18.65,21.60,23.37,20.97,18.49,14.69,12.35
1912,9.89,11.41,11.64,11.75,14.75,17.57,21.57,21.19,18.39,17.19,12.19,10.54
1913,10.09,8.59,10.91,11.89,14.37,17.75,19.85,21.17,21.61,18.19,15.29,11.19
1914,8.11,9.61,11.27,12.97,14.97,17.50,20.25,21.05,19.39,16.55,13.35,11.04
1915,9.69,8.79,10.49,11.69,14.85,18.62,20.85,21.77,19.09,16.39,13.59,12.74
1916,9.11,9.79,11.54,12.65,15.67,19.87,22.27,21.19,19.01,16.84,13.71,12.06
1917,8.84,8.91,10.01,11.37,15.55,19.62,21.17,23.29,21.41,17.09,12.31,8.69
1918,8.64,8.01,9.31,12.07,14.79,17.35,20.77,20.89,22.09,16.46,12.91,10.54
1919,9.24,9.39,10.81,12.09,12.57,18.15,20.85,21.57,20.91,17.19,14.27,10.01
1920,9.99,9.27,10.61,12.67,15.99,18.57,22.05,22.01,20.47,17.85,13.37,11.11
1921,9.94,9.11,9.99,11.07,15.17,17.22,21.85,22.17,21.07,17.87,13.29,10.29
1922,8.97,9.87,12.01,13.27,15.97,19.97,21.39,23.49,20.14,17.97,12.07,9.51
1923,7.91,9.31,9.99,12.17,15.77,16.75,21.45,22.67,20.31,17.89,15.14,10.34
1924,7.97,8.71,10.29,13.19,17.07,19.95,22.07,21.67,22.41,17.87,13.47,10.81
1925,8.91,9.66,9.11,12.37,14.57,19.15,20.77,22.59,20.64,17.31,14.21,10.31
1926,9.71,10.91,10.81,12.99,14.55,17.65,19.75,20.59,21.51,19.29,16.64,10.46
1927,9.11,8.19,11.24,12.67,15.89,20.47,22.37,23.47,21.24,16.81,15.21,11.81
1928,9.71,8.77,10.05,13.17,14.09,19.27,22.31,23.91,21.71,18.37,13.66,9.39
1929,7.41,6.47,9.29,12.22,15.41,18.97,21.59,21.51,20.37,17.01,13.76,10.91
1930,10.11,8.44,11.21,12.37,14.47,19.72,22.05,21.69,20.21,16.79,14.09,11.41
1931,10.06,7.96,11.75,12.10,15.25,21.02,22.57,23.29,19.91,17.19,14.45,9.99
1932,9.07,7.65,10.52,11.97,15.07,17.67,20.31,22.01,22.51,19.21,14.27,12.79
1933,9.01,9.54,10.32,12.40,14.32,16.80,20.62,21.79,20.80,19.15,14.48,10.59
1934,8.74,8.69,10.38,13.47,15.49,19.22,21.77,21.99,20.29,17.51,14.76,12.04
1935,7.24,9.14,9.19,12.42,14.11,19.49,21.75,22.39,20.89,18.56,14.67,11.36
1936,11.68,10.51,11.31,13.07,13.69,17.25,21.11,21.24,20.65,16.08,13.31,10.29
1937,9.85,10.71,11.26,12.37,14.81,19.85,20.81,22.19,20.56,18.01,15.07,9.98
1938,8.91,7.61,9.54,10.62,13.69,19.37,21.29,22.41,20.39,18.31,14.47,11.14
1939,10.64,9.99,8.67,12.19,12.81,17.37,21.79,22.21,20.31,18.91,14.27,11.41
1940,9.12,10.35,10.95,11.92,14.32,16.49,20.09,20.47,20.49,18.14,14.04,8.71
1941,9.71,10.49,11.29,12.25,13.39,18.57,21.87,22.49,18.97,16.59,13.07,9.39
1942,7.09,8.21,11.55,13.80,16.47,19.37,21.17,21.49,21.24,18.85,14.12,12.09
1943,9.22,9.61,10.72,13.50,15.95,18.72,22.05,22.81,22.79,18.54,14.24,12.04
1944,8.41,7.74,8.39,12.95,16.35,19.27,21.57,22.75,21.49,17.39,13.57,10.41
1945,6.91,8.39,9.57,13.20,17.27,20.60,22.55,23.87,20.69,16.19,13.67,10.71
1946,9.41,8.77,9.97,13.42,15.29,19.15,21.27,23.59,22.07,18.47,15.39,9.61
1947,8.77,11.19,13.14,12.67,15.57,19.60,22.62,23.85,21.75,18.02,14.39,10.54
1948,10.31,9.75,9.95,12.92,16.27,18.20,20.52,21.77,19.97,19.07,13.65,10.57
1949,9.57,8.75,8.67,12.42,15.47,19.25,21.42,21.35,20.97,17.92,14.05,12.29
1950,9.07,9.57,10.17,12.17,15.92,20.22,22.25,23.02,21.27,17.72,13.75,10.61
1951,9.14,9.71,10.79,12.12,14.82,19.00,21.22,21.82,20.77,16.17,14.37,9.69
1952,8.21,7.71,10.55,12.57,14.65,20.20,22.52,23.42,22.07,18.15,13.69,11.51
1953,7.11,7.79,7.92,12.72,14.62,18.55,21.55,20.99,20.50,18.05,13.42,11.58
1954,7.51,8.36,11.17,11.39,13.49,19.20,19.59,20.17,20.05,15.51,13.57,11.15
1955,12.25,11.51,10.61,11.02,15.55,18.67,21.88,21.92,20.39,16.94,14.04,12.05
1956,10.27,7.14,9.05,11.75,14.17,17.27,20.39,21.89,21.07,16.05,12.99,9.11
1957,8.29,9.79,9.27,11.65,13.65,18.85,20.35,21.77,19.67,18.09,13.87,10.19
1958,8.71,9.91,10.39,11.25,15.09,18.92,20.97,22.42,20.25,17.82,14.59,12.79
1959,8.99,8.97,11.39,12.05,15.05,18.20,20.95,22.17,21.52,16.27,13.57,11.21
