Variable:,tasmin
Country:,Nicaragua
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.70,18.88,19.66,20.47,21.09,20.83,20.86,20.43,20.40,20.28,19.64,19.07
1902,18.55,18.83,19.77,20.48,21.14,20.83,20.90,20.32,20.55,20.36,19.79,19.09
1903,18.76,19.09,19.72,20.43,21.01,20.95,20.93,20.46,20.52,20.26,19.58,18.91
1904,18.71,18.89,19.66,20.50,21.09,20.83,20.86,20.42,20.40,20.27,19.66,19.09
1905,18.66,18.90,19.67,20.50,21.14,20.86,20.86,20.43,20.42,20.30,19.70,19.09
1906,18.57,18.74,19.58,20.39,21.10,20.80,20.89,20.42,20.46,20.28,19.70,19.02
1907,18.76,18.84,19.67,20.48,21.11,20.83,20.76,20.34,20.37,20.27,19.73,19.06
1908,18.59,18.76,19.67,20.63,21.19,20.84,20.86,20.39,20.40,20.18,19.57,19.09
1909,18.66,18.87,19.76,20.53,21.23,20.82,20.92,20.43,20.37,20.24,19.57,19.05
1910,18.50,18.74,19.37,20.28,21.01,20.75,20.81,20.41,20.37,20.22,19.50,18.83
1911,18.68,18.88,19.67,20.55,20.85,20.69,20.65,20.41,20.41,20.37,19.80,19.14
1912,18.73,18.64,19.75,20.70,21.13,20.80,20.83,20.43,20.39,20.31,19.56,19.15
1913,18.83,19.07,19.72,20.23,20.88,20.64,20.80,20.40,20.33,20.22,19.58,19.05
1914,18.63,18.89,19.39,20.43,20.96,20.72,20.89,20.48,20.37,20.24,19.60,19.17
1915,18.67,18.77,19.33,20.22,21.19,20.92,20.95,20.48,20.42,20.29,19.68,19.10
1916,18.88,18.74,19.52,20.35,21.05,20.76,20.95,20.38,20.35,20.22,19.57,19.09
1917,18.74,18.87,19.69,20.50,21.10,20.83,20.86,20.43,20.40,20.27,19.64,19.05
1918,18.61,18.98,19.70,20.52,21.06,20.77,20.90,20.43,20.41,20.40,19.70,19.09
1919,18.57,18.90,19.69,20.39,21.03,20.73,20.83,20.43,20.40,20.33,19.82,19.11
1920,18.76,18.80,19.66,20.67,21.12,20.73,20.82,20.39,20.40,20.24,19.63,19.07
1921,18.68,18.86,19.69,20.47,20.85,20.75,20.81,20.42,20.39,20.27,19.77,19.16
1922,18.77,18.92,19.74,20.63,21.06,20.81,20.86,20.46,20.41,20.30,19.74,19.12
1923,18.74,18.90,19.70,20.53,21.10,20.80,20.86,20.43,20.41,20.27,19.59,19.15
1924,18.73,18.68,19.59,20.53,21.13,20.86,20.87,20.43,20.40,20.27,19.60,19.17
1925,18.84,18.89,19.57,20.33,20.94,20.74,20.83,20.44,20.40,20.38,19.73,19.12
1926,18.71,18.84,19.67,20.51,20.98,20.81,20.92,20.43,20.46,20.35,19.60,19.19
1927,18.62,19.02,19.63,20.50,21.17,20.87,20.82,20.47,20.43,20.27,19.67,19.11
1928,18.60,18.95,19.67,20.42,20.95,20.92,20.86,20.45,20.48,20.36,19.68,19.04
1929,18.81,19.08,19.78,20.63,21.10,20.74,20.80,20.40,20.40,20.30,19.78,19.03
1930,18.76,18.88,19.61,20.37,21.09,20.75,20.80,20.43,20.42,20.32,19.64,18.98
1931,18.69,19.02,19.47,20.20,20.75,20.73,20.72,20.64,20.75,20.62,19.27,19.74
1932,19.46,19.44,19.55,20.26,21.15,20.56,20.69,20.46,20.89,20.48,18.82,19.39
1933,19.21,19.57,19.58,21.10,21.10,20.64,20.73,20.18,20.20,20.24,18.87,18.78
1934,18.98,18.65,18.77,20.61,20.63,20.40,20.74,20.73,20.57,20.39,19.76,19.34
1935,18.24,18.11,19.58,20.72,21.11,20.72,20.89,20.34,20.65,20.34,19.46,19.06
1936,19.62,19.70,20.28,20.63,20.91,20.83,20.84,20.78,20.57,20.73,19.98,19.04
1937,19.94,19.58,20.02,20.76,21.00,20.87,20.94,20.43,20.17,20.04,18.86,18.95
1938,18.51,18.51,19.57,19.54,20.75,20.36,20.48,20.16,20.22,19.78,19.40,18.33
1939,18.93,18.99,19.04,20.21,20.94,20.46,20.73,20.40,19.94,20.37,19.03,19.62
1940,18.29,17.94,19.61,20.04,20.81,20.53,21.08,20.73,20.62,19.95,19.54,19.00
1941,18.44,18.53,19.46,20.66,20.70,21.08,20.74,20.54,20.23,20.10,19.18,19.29
1942,17.86,19.03,19.44,20.34,21.42,20.66,20.68,19.96,19.98,20.01,19.33,19.11
1943,18.54,17.65,18.78,19.53,20.46,20.28,20.46,20.09,20.29,19.57,18.71,18.38
1944,17.92,18.88,19.59,20.31,20.58,20.25,20.84,20.24,20.06,19.35,19.29,18.13
1945,18.51,19.28,19.82,20.41,20.57,20.66,20.89,20.09,20.04,20.05,19.08,18.93
1946,19.22,19.07,19.26,20.03,21.24,20.53,20.47,20.16,20.14,19.95,20.03,18.93
1947,19.55,18.32,19.60,20.75,20.69,20.51,20.71,20.06,20.29,20.60,20.47,19.04
1948,18.67,18.96,19.60,19.78,20.54,20.37,20.56,20.44,20.29,20.13,19.98,18.85
1949,18.70,18.20,19.54,20.51,20.69,20.72,20.89,20.34,20.18,20.15,18.27,18.28
1950,18.54,18.12,18.83,19.32,20.45,20.22,20.40,19.94,20.17,20.01,18.66,17.99
1951,18.38,17.84,19.08,20.49,20.61,21.02,20.84,20.91,20.79,20.40,19.68,19.53
