Variable:,tasmin
Country:,Netherlands
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.70,-4.48,0.62,4.19,6.58,10.01,13.13,12.07,9.88,6.72,1.64,0.98
1902,2.53,-2.83,1.79,3.73,4.49,9.91,10.72,10.29,8.39,4.97,0.97,-1.62
1903,0.37,2.54,3.35,1.70,7.76,9.29,11.49,11.06,9.71,7.74,3.47,-0.62
1904,-1.45,0.53,0.64,4.80,7.37,9.35,12.79,11.19,8.01,5.84,2.64,2.58
1905,-1.78,0.91,2.70,2.45,6.70,11.44,13.19,11.68,9.32,3.10,1.79,1.04
1906,0.97,0.06,0.95,2.80,8.35,9.85,12.16,12.51,9.36,8.01,5.48,-1.48
1907,-0.36,-1.87,1.14,3.02,7.46,9.73,10.22,11.39,9.16,8.26,2.91,1.80
1908,-3.03,1.34,0.64,2.07,8.70,11.20,12.38,11.05,9.26,5.28,0.91,-0.07
1909,-1.71,-2.51,0.02,3.56,5.87,8.80,10.99,11.80,9.35,7.86,1.62,1.48
1910,1.28,1.79,1.48,3.44,7.63,11.65,11.70,12.07,9.55,6.92,1.29,3.48
1911,-0.47,0.92,1.82,2.86,8.63,9.99,13.48,14.38,10.23,6.32,3.63,3.51
1912,-0.98,1.15,4.51,3.48,6.97,10.57,13.52,10.61,6.94,4.25,3.11,3.86
1913,0.41,0.63,3.63,3.92,7.91,10.17,10.74,10.88,9.45,7.07,6.13,2.62
1914,-2.45,2.66,3.07,5.29,6.88,9.59,13.34,12.94,9.35,6.72,2.99,3.42
1915,0.98,0.56,1.00,2.91,7.13,10.67,11.51,11.58,8.70,4.57,0.40,3.14
1916,3.68,0.19,1.23,4.11,7.99,8.25,11.25,12.09,9.00,6.93,3.55,1.33
1917,-2.34,-4.52,-1.35,0.97,8.80,12.37,12.31,12.56,10.36,4.61,4.84,-1.70
1918,0.36,1.34,1.26,4.50,8.61,8.54,11.75,11.86,9.48,6.43,2.24,4.18
1919,0.26,-1.76,1.22,2.48,7.52,9.70,10.05,11.44,9.96,3.86,-0.27,1.28
1920,1.92,2.20,3.75,5.60,8.55,10.40,12.01,10.65,9.65,4.17,0.36,0.54
1921,3.86,0.78,2.99,3.73,8.20,9.57,13.09,12.01,9.58,8.67,-1.32,1.11
1922,-2.44,-1.90,1.40,2.35,7.97,10.18,11.23,10.82,8.75,2.94,2.19,3.22
1923,2.07,0.73,2.99,2.90,6.57,7.66,13.83,11.33,9.15,7.79,1.46,-1.31
1924,-2.34,-2.23,-0.01,2.80,8.66,10.25,12.04,10.80,10.39,7.19,2.33,2.29
1925,2.03,2.60,0.40,3.80,9.06,9.97,13.59,12.66,8.21,6.26,1.02,-0.72
1926,-0.07,3.75,2.58,4.89,6.36,9.70,13.15,12.15,10.83,5.27,4.33,0.98
1927,2.08,0.30,3.50,3.86,6.20,8.85,12.90,12.81,10.44,6.67,1.96,-2.92
1928,1.24,1.84,0.66,3.99,5.92,9.00,12.24,11.82,8.26,6.36,5.31,0.73
1929,-3.92,-8.19,-0.05,1.17,7.33,9.15,12.21,11.53,11.09,7.20,3.41,3.36
1930,2.41,-0.99,1.20,4.87,7.21,12.27,12.25,11.88,10.28,6.78,4.71,0.77
