Variable:,tasmin
Country:,Norway
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-10.62,-14.77,-10.22,-3.73,0.92,5.85,10.28,7.58,5.07,1.69,-7.76,-12.04
1902,-10.65,-13.17,-11.16,-5.90,-1.57,3.59,4.83,4.72,1.60,-3.37,-6.51,-10.33
1903,-12.15,-7.65,-5.91,-5.30,0.12,4.05,6.29,5.82,3.45,-3.86,-6.33,-8.24
1904,-8.24,-14.82,-10.19,-3.81,-0.84,4.17,6.71,6.03,3.55,-0.63,-8.28,-11.05
1905,-11.76,-10.09,-8.11,-6.04,0.09,6.19,7.90,6.05,3.02,-4.83,-6.65,-6.42
1906,-9.73,-10.37,-10.62,-3.92,0.37,5.43,7.62,5.92,3.70,-0.63,-4.04,-9.85
1907,-11.95,-10.00,-7.17,-3.95,-1.16,5.00,6.44,4.65,2.58,1.47,-4.31,-10.76
1908,-9.81,-9.72,-10.37,-4.38,-0.58,4.19,7.52,6.85,3.06,0.15,-8.00,-7.93
1909,-8.65,-12.22,-11.98,-6.22,-2.24,3.98,6.82,5.88,3.40,0.50,-8.81,-10.11
1910,-11.49,-7.03,-6.92,-3.79,1.25,5.05,7.31,6.69,3.58,-1.45,-7.59,-8.71
1911,-9.79,-10.29,-8.80,-4.79,1.89,4.39,7.43,7.55,4.08,-3.40,-6.72,-6.08
1912,-14.79,-13.44,-6.96,-5.61,0.13,5.53,8.57,6.78,2.21,-2.47,-6.35,-7.88
1913,-13.23,-9.41,-8.43,-3.64,0.96,4.66,7.97,6.33,3.83,-1.54,-3.16,-10.32
1914,-11.89,-7.90,-9.44,-2.93,-0.51,5.52,10.43,7.26,3.92,-1.34,-6.03,-7.68
1915,-12.93,-11.17,-11.96,-4.89,-1.48,2.98,7.73,6.62,1.93,-3.14,-8.56,-16.33
1916,-9.62,-10.57,-11.62,-4.45,0.01,4.43,8.89,6.23,2.04,-3.51,-3.70,-9.14
1917,-16.21,-13.20,-13.15,-7.13,-1.30,5.99,6.78,9.15,3.63,-1.21,-5.88,-10.85
