Variable:,tasmin
Country:,Peru
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.29,14.73,14.20,13.87,13.31,11.90,11.30,12.06,12.67,12.97,13.11,13.47
1902,14.17,14.27,14.24,13.84,13.31,11.78,11.66,11.80,12.66,12.93,13.39,13.71
1903,14.46,15.15,14.27,13.50,12.81,11.61,11.26,11.53,12.55,12.68,12.86,12.93
1904,13.74,14.07,13.88,13.47,12.69,11.89,10.99,11.72,12.38,12.69,13.23,13.47
1905,14.19,14.79,13.92,13.74,13.24,12.14,11.50,11.77,12.38,13.03,13.39,13.49
1906,14.42,14.78,14.33,13.88,13.05,11.33,11.25,11.65,12.50,12.56,13.42,13.17
1907,14.15,14.12,14.43,13.41,13.01,11.71,11.13,11.68,12.54,12.83,13.36,13.69
1908,14.46,14.42,14.35,13.71,13.17,11.98,11.01,11.34,12.25,12.33,12.99,13.39
1909,14.04,14.18,14.23,13.39,13.11,11.16,11.04,11.41,12.45,12.76,12.95,13.24
1910,14.18,14.52,14.14,13.33,12.23,10.94,10.53,11.01,11.56,12.06,12.87,12.86
1911,14.07,14.42,13.43,13.29,12.40,11.55,11.16,11.55,12.14,12.89,13.66,14.29
1912,15.38,15.59,15.33,14.52,12.92,11.31,10.70,11.29,12.42,12.97,12.81,13.65
1913,14.58,14.36,14.59,13.79,12.54,11.36,11.38,11.92,12.53,13.76,14.16,14.06
1914,14.96,15.20,14.73,13.94,12.92,11.27,11.21,11.88,12.32,13.02,13.32,14.30
1915,15.53,16.02,15.27,14.83,13.51,11.57,11.46,11.91,12.07,12.70,12.93,13.88
1916,14.62,14.94,14.58,14.31,12.89,10.53,9.94,10.66,12.43,12.31,12.23,13.77
1917,14.45,14.73,14.77,14.21,13.21,11.94,10.77,11.38,11.81,12.30,13.35,12.96
1918,14.36,14.43,14.51,13.79,11.75,12.93,12.06,13.06,12.77,12.87,13.56,14.16
1919,15.27,15.71,14.71,14.52,13.84,11.36,10.82,11.27,12.60,12.98,13.44,13.70
1920,14.68,14.94,14.68,13.83,12.51,10.91,10.28,11.09,12.28,12.99,13.45,13.45
1921,14.20,14.30,14.31,13.51,13.04,10.12,9.69,11.07,11.84,12.39,13.37,13.79
1922,14.82,15.06,14.66,14.19,13.15,11.91,11.66,11.72,12.84,12.96,13.61,13.85
1923,14.60,14.90,14.77,13.97,13.15,11.89,11.54,11.90,13.05,13.17,13.80,13.94
1924,15.18,15.07,14.51,14.24,13.31,11.96,11.35,11.78,12.67,12.98,13.65,13.85
1925,14.37,14.46,14.31,14.05,13.51,11.82,11.27,12.22,12.98,13.62,13.90,14.38
1926,15.18,15.14,14.52,14.64,13.33,12.29,11.41,12.05,13.06,13.90,14.40,14.40
1927,14.97,14.97,14.81,14.19,13.19,11.94,11.35,12.00,13.16,13.94,14.35,14.65
1928,15.09,15.37,14.46,14.38,13.65,12.04,11.39,12.04,13.02,13.49,14.39,14.44
1929,15.19,15.11,14.76,14.50,13.31,12.06,11.34,11.87,12.86,13.50,14.11,14.45
1930,14.72,14.85,14.43,14.06,13.09,12.04,11.40,11.69,12.49,13.63,14.19,14.82
1931,14.99,15.04,14.71,14.43,13.40,12.07,11.36,12.02,12.85,13.81,14.40,14.29
1932,14.79,14.89,14.48,14.00,13.18,11.94,11.75,12.04,12.92,13.50,13.83,14.12
1933,14.53,14.83,14.51,14.02,13.16,11.78,11.23,11.77,12.82,13.17,13.59,14.02
1934,14.38,14.27,14.51,13.70,13.29,12.14,11.39,11.71,12.59,13.60,13.78,14.36
1935,14.75,14.88,14.77,13.90,12.80,11.93,11.41,11.71,12.83,13.49,13.87,14.19
1936,14.54,15.08,14.43,14.51,13.39,11.77,11.38,11.74,12.83,13.60,14.02,14.32
1937,14.74,14.87,14.42,14.07,13.38,12.24,11.93,12.46,13.19,13.52,14.45,14.64
1938,14.82,15.05,14.86,13.97,13.18,11.83,11.45,11.94,12.97,13.34,13.93,14.30
1939,14.78,14.87,14.50,14.45,13.57,12.59,12.03,11.85,12.98,13.94,13.96,14.24
1940,14.74,15.15,14.81,14.51,13.66,12.42,12.04,12.09,13.39,14.10,14.55,14.35
1941,15.32,15.26,15.26,14.92,14.20,12.35,11.56,12.63,13.63,14.34,14.94,15.02
1942,15.62,14.44,14.70,14.15,14.01,12.50,11.83,12.67,13.34,13.96,14.42,14.04
1943,16.49,15.52,16.16,15.27,13.90,12.72,12.41,13.72,14.27,14.68,14.49,15.10
1944,15.78,15.71,14.78,14.91,14.28,12.56,13.01,13.33,14.45,14.45,14.57,15.04
1945,15.67,15.74,15.03,14.63,13.84,12.18,12.01,13.12,14.17,14.62,15.10,14.48
1946,15.30,15.67,15.17,14.27,13.55,12.34,11.28,12.05,13.15,13.85,14.36,14.03
1947,15.29,15.20,14.70,14.52,13.69,11.94,11.09,11.65,12.90,13.32,13.76,13.40
