Variable:,tasmin
Country:,Portugal
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.96,3.10,6.19,9.26,10.95,14.60,15.13,16.42,14.77,10.24,6.04,3.72
1902,4.50,6.06,7.46,9.74,9.29,12.80,16.09,15.56,13.61,10.22,8.52,5.47
1903,4.78,5.36,7.07,8.56,10.35,13.20,16.08,16.22,13.69,11.86,8.22,4.45
1904,4.88,6.36,5.82,8.41,11.63,14.01,15.97,16.16,13.75,12.03,7.42,7.18
1905,3.85,3.34,8.32,9.87,10.22,13.67,16.08,15.82,13.46,9.79,6.97,4.97
1906,5.58,4.43,5.98,7.50,10.56,14.71,15.46,16.57,14.98,11.87,7.46,4.25
1907,3.33,3.64,6.13,8.61,10.04,13.80,14.69,15.73,14.91,10.88,8.30,7.87
1908,5.80,4.59,5.31,7.19,11.68,13.15,14.90,16.00,14.06,12.34,9.32,6.59
1909,3.94,3.51,7.24,9.16,11.41,12.23,14.51,16.03,13.12,11.80,8.20,7.40
1910,4.49,6.90,5.38,8.21,9.30,13.58,14.94,15.05,13.89,11.57,8.13,6.62
1911,1.92,4.88,6.09,7.14,10.21,12.98,16.52,16.55,15.94,11.32,7.83,7.28
1912,5.46,7.91,8.23,8.03,11.74,12.96,14.46,14.47,13.35,10.70,6.63,4.07
1913,6.91,5.24,7.13,8.09,11.06,13.52,15.06,15.44,13.85,11.58,9.02,4.64
1914,3.23,6.44,7.77,9.01,10.62,12.59,14.51,15.10,14.67,11.22,7.34,6.25
1915,4.92,5.30,7.39,6.94,11.90,13.39,15.81,16.38,14.06,10.26,8.16,7.48
1916,4.93,5.09,6.20,7.92,11.33,12.84,15.18,16.39,13.67,11.52,7.88,6.45
1917,4.03,4.92,5.51,6.92,11.57,13.35,15.85,14.80,14.15,9.57,6.69,3.09
1918,6.07,5.19,6.05,7.22,10.96,13.49,15.44,16.07,14.41,8.90,7.70,6.46
1919,4.28,8.23,7.20,7.33,10.83,14.28,15.01,16.26,14.74,9.98,6.21,4.71
1920,5.55,6.07,6.67,9.46,11.69,14.12,14.43,14.85,14.07,11.52,7.71,5.37
1921,5.11,5.46,6.13,7.60,10.40,13.56,16.19,15.34,15.02,13.63,7.45,4.41
1922,4.46,5.70,6.01,8.41,12.19,12.77,14.61,15.15,12.56,11.33,7.61,3.65
1923,3.22,6.27,7.37,7.20,10.95,12.86,15.87,16.15,13.46,12.90,7.37,3.58
1924,5.01,2.75,8.43,8.55,12.36,14.13,15.44,15.02,13.98,11.77,7.43,5.59
1925,4.05,4.27,3.61,7.81,9.89,13.51,13.99,15.43,13.11,11.07,6.33,7.54
1926,5.72,7.61,7.40,9.00,9.48,12.85,15.45,16.38,16.07,12.35,7.42,4.18
1927,5.10,4.74,7.84,8.65,12.24,14.08,14.93,15.32,13.16,11.85,6.74,6.32
1928,4.12,5.86,7.50,8.23,9.49,13.56,16.59,15.82,14.75,11.27,6.82,3.66
1929,3.74,5.70,6.93,8.59,9.94,14.36,15.80,15.29,14.47,11.02,7.95,6.91
1930,5.93,3.10,7.10,7.55,10.98,13.39,15.37,16.47,14.67,12.99,8.60,6.89
1931,4.90,4.91,8.48,8.45,10.70,14.61,15.02,15.00,12.79,11.22,8.02,2.91
1932,3.62,2.60,6.84,6.57,9.97,12.67,13.93,15.92,14.20,10.45,8.08,5.89
1933,3.67,3.61,6.99,8.80,12.20,12.70,15.43,17.35,14.00,11.26,5.46,2.15
1934,2.76,2.12,4.84,7.29,11.37,13.92,15.77,14.18,13.98,11.29,5.04,7.59
1935,2.20,2.98,6.34,7.57,8.72,12.73,15.73,14.91,13.82,9.06,6.99,6.39
1936,7.52,6.82,6.98,8.49,8.87,11.51,14.23,15.45,14.38,9.23,6.14,2.99
1937,4.75,6.59,6.29,9.28,10.24,13.00,15.33,15.34,13.35,11.69,9.88,4.75
1938,3.84,3.61,6.35,7.94,9.90,13.88,14.47,14.56,12.51,11.17,8.85,5.07
1939,6.90,4.86,5.72,7.60,9.32,12.70,14.75,14.60,14.62,10.88,7.57,5.71
1940,5.04,7.23,8.85,9.16,10.55,12.88,14.53,15.95,13.50,9.91,7.11,3.06
1941,4.26,6.38,7.17,8.01,9.09,13.37,15.64,14.68,14.23,10.61,6.49,2.96
1942,3.84,2.12,8.34,8.70,11.20,14.00,14.80,14.96,13.88,12.30,7.56,5.34
1943,5.59,4.34,6.32,9.46,11.73,14.69,15.12,16.09,13.51,10.94,5.53,4.96
1944,2.72,1.84,5.27,9.32,11.23,13.64,15.10,15.90,13.90,9.33,7.32,3.90
1945,1.69,4.80,5.85,9.99,11.40,14.68,15.16,14.40,14.11,12.07,9.60,6.59
1946,3.39,4.77,6.29,8.46,9.59,12.98,15.41,15.51,13.95,11.91,7.59,3.93
1947,3.46,6.05,8.75,8.81,10.02,13.85,15.65,15.53,14.05,11.67,8.25,3.88
1948,5.86,5.43,7.73,8.00,10.41,13.84,14.35,15.32,13.60,10.69,7.77,6.82
1949,4.13,4.31,5.78,9.28,9.83,13.84,16.06,16.65,15.19,11.95,8.13,5.65
1950,3.41,5.48,6.25,6.97,10.37,14.04,16.49,14.94,13.09,11.01,9.12,4.29
1951,4.78,4.70,6.62,7.99,8.57,13.75,15.67,14.56,13.96,9.73,8.13,6.27
1952,2.79,4.33,8.53,8.17,11.21,14.57,14.92,14.94,11.67,11.81,7.60,5.21
1953,3.19,3.49,5.39,8.33,11.71,12.54,15.19,16.32,14.11,10.56,8.58,7.33
1954,2.74,3.54,6.64,7.10,10.35,12.72,14.18,14.49,13.50,11.90,9.76,5.33
1955,8.65,6.14,6.12,9.35,12.37,14.06,15.63,15.98,14.29,10.96,8.82,7.17
1956,5.53,3.08,6.14,8.08,10.29,12.84,14.59,14.84,13.24,11.61,5.11,2.67
1957,2.27,6.67,8.82,6.97,9.66,12.61,15.54,15.78,14.78,9.88,6.40,3.26
1958,4.79,6.90,6.94,6.98,11.43,12.88,14.60,15.22,15.05,10.76,6.44,7.08
1959,6.83,4.21,7.93,8.62,10.49,13.62,15.82,15.56,14.33,11.57,7.48,6.26
1960,4.90,6.49,7.90,8.48,11.79,14.79,15.08,14.67,13.60,10.34,8.61,4.38
1961,4.34,7.07,7.89,9.07,12.38,14.20,15.72,16.45,14.73,10.95,7.53,7.25
1962,5.26,3.75,7.19,8.51,10.29,13.96,14.54,15.63,14.97,13.08,5.53,3.81
1963,5.64,4.23,6.82,8.00,10.29,12.97,15.37,14.01,12.97,11.65,9.08,5.08
1964,4.31,6.00,6.68,7.33,12.46,14.01,15.91,15.73,16.18,10.17,6.58,2.79
1965,3.94,3.32,7.46,8.06,11.55,14.20,13.50,15.03,11.93,12.37,7.49,6.23
1966,8.16,7.56,5.39,8.85,10.99,13.13,14.91,14.85,14.92,10.56,4.78,4.25
1967,3.82,5.37,7.63,7.32,9.11,12.97,15.39,15.03,13.35,12.03,7.68,3.58
1968,3.60,5.95,6.26,7.94,10.00,13.34,15.30,15.41,13.54,12.87,8.85,5.86
1969,6.14,4.46,6.86,7.85,10.08,12.70,16.44,15.61,12.59,12.35,6.45,3.67
1970,7.14,4.69,4.19,7.08,10.70,13.30,15.72,14.80,14.85,9.90,9.04,2.12
1971,4.42,5.00,4.39,8.13,9.58,11.82,15.74,14.04,13.84,12.85,5.43,5.16
1972,3.51,5.48,6.11,7.48,8.88,11.50,15.04,14.68,12.80,10.82,8.76,5.54
1973,4.23,3.95,5.30,7.25,10.81,13.80,14.79,16.57,13.50,11.09,7.82,3.31
1974,6.72,5.04,6.09,7.09,10.51,13.55,16.06,14.83,12.18,7.97,7.17,5.27
1975,5.61,6.69,5.15,7.30,9.66,12.93,15.38,15.61,13.17,11.83,7.12,4.04
1976,2.37,5.83,5.71,7.08,10.48,14.67,16.37,16.25,13.00,10.30,5.71,7.21
1977,5.71,7.13,7.13,8.72,9.91,11.86,13.78,14.05,14.66,11.95,7.37,8.23
1978,5.22,6.67,6.33,7.60,9.70,12.01,14.83,15.25,15.47,11.16,7.97,8.09
