Variable:,tasmin
Country:,Rwanda
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.96,13.20,13.55,13.76,13.64,11.91,12.03,12.44,12.90,13.29,13.48,13.41
1902,12.83,13.03,13.31,13.62,14.73,14.22,12.05,13.76,13.01,13.57,13.13,12.35
1903,13.03,13.36,12.93,13.16,13.43,12.94,11.27,13.76,13.01,13.15,13.15,13.08
1904,12.37,12.51,12.88,13.22,12.94,12.94,12.08,13.69,13.22,12.29,12.62,12.55
1905,12.96,13.30,12.75,12.66,13.76,12.67,12.18,12.89,13.52,13.52,12.99,12.38
1906,12.65,13.67,12.19,12.55,12.87,11.57,10.96,11.65,12.17,13.39,14.32,13.24
1907,12.26,12.02,12.45,13.13,12.73,11.40,11.35,11.23,12.09,13.25,13.03,12.81
1908,12.96,13.32,13.17,13.80,13.15,12.43,11.94,13.20,12.98,13.15,13.02,12.41
1909,11.74,11.58,12.59,13.09,12.96,11.32,11.21,11.67,12.32,12.62,12.05,11.95
1910,12.01,11.93,12.33,12.98,12.10,12.33,10.71,11.82,11.74,11.97,12.17,13.08
1911,12.11,12.31,12.60,12.31,13.14,11.97,11.00,12.20,11.86,12.53,12.67,12.62
1912,12.16,12.29,12.27,12.62,12.63,11.90,10.83,11.77,12.25,12.63,12.44,11.98
1913,11.85,12.33,12.12,12.60,12.65,11.30,10.69,11.65,12.59,12.62,12.51,12.35
1914,12.13,12.51,12.71,12.78,12.65,11.90,11.08,12.14,12.41,12.72,12.62,12.65
1915,12.43,12.67,13.07,13.02,12.14,11.73,11.28,11.94,12.58,12.62,12.10,11.96
1916,12.13,12.27,12.19,12.75,12.65,11.37,10.56,11.55,11.89,13.15,11.95,11.96
1917,11.49,11.78,11.83,12.29,12.27,11.08,10.69,11.94,11.89,12.00,11.95,11.84
1918,11.77,12.00,12.19,12.38,12.14,11.37,10.94,11.80,12.18,12.62,12.23,12.25
1919,12.43,12.77,12.71,12.75,12.52,11.37,10.69,11.94,12.41,12.00,12.10,11.96
1920,12.04,12.14,12.35,12.14,12.27,10.95,10.69,11.80,13.01,13.15,13.39,11.47
1921,12.54,12.77,13.50,13.64,13.29,12.01,12.00,12.57,12.84,13.05,13.13,13.27
1922,13.15,13.64,13.34,13.38,12.79,12.36,11.21,12.43,13.05,12.79,12.98,12.77
1923,12.95,12.44,13.07,12.74,13.39,11.44,11.40,11.42,11.85,12.05,11.98,12.38
1924,12.96,12.76,13.15,13.62,13.39,12.85,11.39,13.30,12.93,13.03,13.12,13.08
1925,12.43,12.91,13.07,13.62,13.39,12.33,11.81,12.67,13.05,13.29,13.15,13.08
1926,12.12,13.81,13.31,14.14,13.28,12.36,12.22,12.45,13.69,13.08,12.84,12.32
1927,13.03,12.48,13.08,12.78,12.31,11.49,10.30,12.49,12.48,13.57,12.13,12.38
1928,12.41,13.27,12.85,13.64,13.25,12.28,11.23,12.94,13.16,13.24,12.88,12.83
1929,11.25,11.81,12.02,11.71,11.30,10.53,10.78,10.81,11.12,11.95,11.91,10.90
1930,12.22,12.05,12.56,12.59,12.33,10.90,10.98,11.47,12.04,11.48,11.18,12.16
1931,12.54,13.50,12.34,12.93,12.95,12.25,11.49,12.66,12.78,13.32,13.33,11.50
1932,12.28,12.00,12.47,12.75,12.23,11.78,11.08,12.23,12.99,12.92,13.54,12.09
1933,12.56,12.17,12.86,13.32,13.51,12.87,11.69,12.34,11.97,11.95,12.50,11.84
1934,12.58,12.15,12.76,12.68,12.68,12.27,12.00,12.60,12.52,12.72,12.27,12.27
1935,12.54,13.02,12.60,13.01,13.01,12.72,11.17,12.05,13.10,12.75,12.97,12.40
1936,12.95,12.62,12.38,13.18,12.96,12.08,11.74,11.89,12.47,12.82,12.78,12.13
1937,13.01,12.92,12.99,13.26,11.96,11.22,11.39,11.53,12.70,12.31,12.85,11.75
1938,12.45,12.19,13.32,13.17,13.20,11.46,11.48,11.92,12.28,12.61,12.40,12.30
1939,12.20,12.58,12.78,13.22,12.71,11.97,12.19,12.76,12.90,12.86,12.88,12.61
1940,13.24,12.78,13.20,12.85,13.20,12.63,11.90,12.69,12.76,12.98,12.44,12.35
1941,13.33,13.45,12.98,13.30,13.64,13.23,11.50,12.90,12.66,13.13,12.89,12.32
1942,12.86,13.53,13.29,13.72,12.88,12.62,11.69,12.15,11.73,12.92,12.99,12.71
1943,12.41,12.57,12.70,13.20,13.66,11.92,11.80,12.15,12.25,12.88,12.99,13.46
1944,12.73,12.94,12.33,13.16,12.87,12.90,11.78,12.73,13.25,13.21,12.81,12.90
1945,12.82,12.64,12.75,13.70,13.45,11.93,12.05,12.64,12.83,13.02,13.24,12.30
1946,13.23,13.60,12.93,13.31,13.73,12.05,11.94,12.33,12.69,12.88,12.45,12.86
1947,13.45,13.04,12.85,13.45,13.16,11.94,12.07,12.28,12.05,13.25,13.55,12.71
1948,13.32,13.47,12.64,13.61,13.95,12.23,11.49,12.25,12.50,12.98,12.27,12.63
1949,12.80,13.19,13.53,14.08,13.92,13.41,12.19,13.39,12.73,13.01,13.02,13.24
1950,13.20,12.23,12.89,13.01,13.19,12.05,11.76,12.41,12.03,11.95,12.30,12.47
1951,13.01,12.73,13.25,13.39,13.32,12.31,11.73,12.54,13.31,13.28,13.15,12.48
1952,13.56,13.43,13.62,13.62,13.37,12.23,11.74,12.54,12.70,13.06,13.07,13.42
1953,13.50,13.28,13.55,13.78,13.78,12.42,11.81,12.79,12.91,13.04,13.52,13.26
1954,13.40,13.54,13.78,13.34,13.16,12.28,11.61,12.42,12.98,13.09,13.13,12.98
1955,13.12,13.00,13.19,13.42,13.25,12.22,11.72,12.38,12.65,13.36,13.47,12.78
1956,12.42,13.12,13.03,13.14,13.29,12.15,11.59,12.63,12.85,13.01,13.29,12.98
1957,13.66,13.38,13.56,13.42,13.49,12.29,12.56,12.82,13.67,13.85,14.12,13.84
1958,14.00,13.71,14.51,14.35,14.28,12.47,12.06,12.67,13.69,13.86,13.92,14.03
1959,13.93,13.80,13.82,13.83,13.84,12.95,11.80,12.74,13.67,13.52,13.55,13.55
1960,13.27,13.53,13.41,13.68,13.46,12.48,12.05,13.25,13.51,13.41,13.49,13.09
1961,12.65,13.54,13.53,13.72,14.06,12.68,12.28,13.08,13.33,13.52,13.25,12.96
1962,12.86,12.92,13.19,13.39,13.39,12.53,11.69,13.17,13.05,13.02,12.80,13.10
1963,13.00,12.97,13.09,13.24,13.67,12.18,11.58,12.07,12.69,12.83,13.30,13.08
1964,13.17,13.39,13.46,13.87,13.06,12.25,11.40,12.43,12.53,12.63,12.89,12.71
1965,12.42,12.52,13.39,13.33,13.27,11.66,11.58,12.44,13.19,12.92,13.36,13.11
1966,13.26,14.00,13.81,13.29,13.15,12.56,11.81,12.89,13.39,13.11,13.12,12.96
1967,12.74,13.32,13.39,13.79,13.73,12.10,11.83,12.17,12.98,13.12,13.23,13.08
1968,12.50,13.18,12.82,13.29,12.82,12.04,11.22,11.91,12.32,12.57,13.09,13.27
1969,13.17,13.52,13.45,13.73,13.68,12.48,11.29,11.98,12.95,13.32,13.18,12.95
1970,13.36,13.74,13.69,13.73,13.13,12.39,11.93,12.76,12.78,12.72,13.19,12.99
1971,12.73,12.74,13.00,13.62,13.25,11.28,11.84,12.48,12.63,12.79,13.04,12.77
1972,12.74,12.87,12.98,13.16,13.72,13.06,12.29,12.84,13.15,13.28,13.30,13.17
1973,13.32,13.16,13.34,13.65,13.14,12.76,11.23,12.68,13.35,13.17,12.94,12.64
1974,12.58,13.24,13.06,13.49,12.99,12.59,12.62,12.07,11.94,12.62,12.91,12.97
1975,12.76,13.00,13.16,13.37,13.11,12.36,12.31,12.69,13.17,13.05,12.87,12.83
1976,12.80,12.76,13.18,13.60,13.83,12.65,12.38,12.82,13.49,13.65,13.48,13.42
1977,13.51,13.52,13.52,14.09,13.68,12.58,12.03,13.22,13.59,13.50,13.17,13.17
1978,12.95,13.38,13.36,14.04,13.05,12.17,11.69,13.18,13.43,13.40,13.47,13.59
1979,13.14,13.07,12.84,13.60,13.45,12.00,11.71,12.96,12.40,13.05,13.52,13.54
1980,13.41,13.50,13.32,14.13,13.72,12.31,11.59,12.67,13.56,13.21,13.07,13.02
1981,13.00,13.23,13.61,13.78,13.54,11.95,11.75,13.02,13.16,13.10,13.21,13.19
1982,13.35,13.18,13.41,13.76,13.72,12.56,11.89,12.63,13.13,13.21,13.39,13.16
1983,12.94,13.41,14.18,14.14,13.88,13.07,12.51,13.53,13.02,13.74,13.32,12.67
1984,12.56,12.96,13.19,13.22,13.11,12.22,12.40,12.64,12.61,12.88,13.07,12.93
1985,13.15,13.15,12.91,13.27,12.93,12.03,11.66,12.45,13.10,13.33,13.31,13.24
1986,13.06,13.22,13.01,13.70,13.66,11.82,11.32,12.48,12.97,13.69,13.48,13.25
1987,13.37,13.30,13.51,14.06,13.86,12.63,12.07,12.90,13.37,13.54,13.21,13.50
1988,13.45,13.41,13.45,13.63,13.07,12.38,11.78,13.13,12.89,13.21,12.97,12.76
1989,12.77,12.74,13.04,13.16,12.83,11.81,11.62,12.64,12.81,13.23,12.95,13.49
1990,12.40,13.70,13.52,14.03,13.41,12.18,11.46,12.52,12.82,13.05,13.33,13.27
1991,12.48,12.96,13.64,13.48,14.12,12.65,11.11,11.87,12.15,13.10,12.37,12.74
1992,12.25,13.14,13.02,14.32,13.64,12.91,11.53,12.62,12.85,13.19,13.19,12.96
1993,12.76,13.09,12.70,12.88,12.90,12.80,11.48,12.63,12.71,12.73,13.67,13.46
1994,12.92,13.19,12.89,12.77,13.61,12.29,11.20,12.55,12.92,13.36,13.05,13.07
1995,12.54,13.02,13.11,13.37,13.35,13.14,11.83,14.03,13.17,13.58,13.11,13.18
1996,12.98,13.17,13.01,12.85,12.23,11.92,11.43,11.66,12.25,13.41,13.68,12.96
1997,13.40,13.63,12.95,13.82,14.07,12.85,11.73,10.88,13.59,14.27,13.24,13.09
