Variable:,tasmin
Country:,"Sierra Leone"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.51,21.88,22.42,22.74,22.13,22.24,21.95,21.76,22.14,21.66,20.98,20.06
1902,19.88,21.26,21.71,22.41,22.61,22.90,22.25,22.22,21.46,22.08,21.75,19.23
1903,18.98,21.12,22.02,22.35,22.38,21.83,21.50,21.05,21.41,22.13,21.34,19.41
1904,18.49,19.99,21.28,21.91,22.29,22.06,21.38,21.27,21.80,21.75,21.53,19.72
1905,19.19,20.58,21.88,22.72,22.46,21.48,21.73,21.48,21.56,21.41,21.16,20.07
1906,19.64,20.93,22.93,22.90,22.23,21.71,21.19,21.12,21.50,21.43,21.28,18.80
1907,18.61,20.38,21.80,22.06,21.79,21.27,21.31,21.05,21.36,21.24,21.32,19.64
1908,19.36,20.65,22.02,22.64,22.43,22.10,21.72,21.19,21.64,21.63,21.47,19.95
1909,18.84,20.89,22.35,22.14,21.84,21.28,21.65,21.49,21.69,21.72,21.35,19.63
1910,18.11,21.32,22.29,22.78,22.64,22.45,21.32,21.25,21.96,21.79,21.89,20.16
1911,18.80,20.81,21.31,22.60,21.67,21.20,21.57,21.15,21.83,21.87,21.40,19.75
1912,19.19,21.49,22.69,22.78,22.82,22.44,21.87,21.49,21.70,21.77,21.60,19.87
1913,19.48,20.66,21.18,22.34,21.66,22.69,21.75,21.43,21.59,21.70,21.74,19.97
1914,19.23,20.34,21.73,22.41,22.65,21.65,21.47,21.03,21.40,21.73,21.22,19.54
1915,19.50,20.83,21.39,22.53,21.98,22.85,22.04,21.59,21.90,22.53,21.73,20.64
1916,19.53,20.84,21.26,21.40,21.85,21.90,21.06,21.49,21.50,21.89,21.21,19.52
1917,19.85,20.09,21.85,22.20,22.16,21.93,22.33,21.36,21.40,21.60,20.80,19.55
1918,19.48,21.11,21.72,21.80,22.29,21.94,21.11,21.06,22.12,21.69,21.27,19.20
1919,19.44,21.66,21.63,21.26,21.27,21.94,21.20,21.32,21.26,21.66,22.06,20.10
1920,19.54,20.78,21.26,21.97,22.02,21.84,21.10,21.08,21.30,21.59,20.89,19.62
1921,18.86,20.23,20.82,21.80,21.07,21.05,21.40,21.37,21.84,21.98,20.88,19.27
1922,18.98,20.63,21.11,20.66,21.54,21.41,21.20,21.13,21.15,21.33,21.25,19.51
1923,18.64,20.51,20.71,21.95,21.71,21.76,21.76,21.49,21.60,21.84,21.56,20.25
1924,18.43,19.29,21.71,21.93,22.51,21.30,21.20,21.09,20.85,20.98,20.95,18.71
1925,17.20,20.19,20.71,22.06,22.95,21.90,21.71,21.07,20.96,20.81,21.01,20.16
1926,19.20,20.49,21.34,21.74,22.15,21.70,21.23,21.59,21.51,21.58,20.78,20.07
1927,17.04,19.99,20.78,22.15,21.42,20.96,21.26,20.64,21.20,21.06,20.96,19.43
1928,17.86,19.24,20.47,20.45,21.27,21.62,21.36,20.53,20.95,20.59,20.38,19.20
1929,18.11,18.86,20.47,21.91,21.31,20.10,20.85,20.36,20.81,21.14,20.75,18.52
1930,17.57,18.32,19.60,20.69,21.01,20.80,21.40,20.72,21.36,21.28,21.24,19.54
1931,18.77,20.17,21.51,22.43,21.94,21.35,20.99,21.47,20.76,21.64,21.28,19.90
1932,18.23,20.08,20.95,21.49,22.04,22.09,21.09,21.18,21.57,21.90,21.34,18.61
