Variable:,tasmin
Country:,"San Marino"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.58,-5.47,0.43,4.03,7.53,12.83,14.23,14.23,11.23,7.23,1.82,0.13
1902,-0.87,0.63,1.03,5.82,5.53,10.53,14.63,13.93,11.13,6.83,1.72,-1.38
1903,-2.38,-0.47,1.33,1.53,7.73,10.54,13.73,14.13,11.03,7.03,3.13,0.52
1904,-0.98,0.23,1.53,5.13,9.03,13.03,15.73,14.63,9.53,6.63,1.43,-0.77
1905,-4.58,-2.18,1.43,3.93,7.33,11.83,15.83,14.43,12.33,3.33,3.13,0.02
1906,-2.38,-2.07,0.13,3.43,8.03,11.83,14.13,14.63,9.83,7.43,4.13,-2.48
1907,-3.88,-2.68,-1.57,2.32,8.63,12.24,13.03,14.73,11.23,8.93,3.33,0.12
1908,-2.48,-0.77,-0.87,2.03,10.04,13.04,13.54,13.33,9.53,6.53,1.12,-0.98
1909,-3.78,-4.57,-0.77,4.63,8.03,10.74,12.74,14.23,10.23,7.83,2.23,1.13
1910,-0.98,-0.17,1.03,3.83,7.03,11.84,12.53,13.73,9.53,7.53,1.33,1.73
1911,-2.88,-2.47,1.23,3.43,8.03,11.14,15.23,15.53,12.13,7.03,4.83,1.02
1912,-0.48,1.13,2.53,2.43,8.93,11.94,14.23,12.83,7.73,5.73,0.53,0.12
1913,-0.88,-2.57,1.83,3.73,8.03,12.33,12.23,13.13,10.93,7.93,4.63,-0.78
1914,-3.68,0.62,1.63,5.33,7.93,10.74,13.33,13.93,10.13,5.83,2.62,0.83
1915,-1.88,-1.47,0.53,3.63,9.93,12.73,13.83,13.43,9.03,5.13,1.23,2.13
1916,-0.27,-0.47,2.34,4.23,8.83,11.64,13.84,13.83,9.13,6.43,4.13,1.23
1917,-1.68,-3.18,-0.77,2.33,9.53,13.44,14.33,14.54,12.63,6.13,2.33,-2.28
1918,-1.77,-0.88,0.43,4.33,8.73,10.13,14.13,13.73,12.53,5.93,2.03,0.43
1919,0.32,-1.67,1.33,3.22,6.43,12.33,12.33,15.03,12.03,5.13,1.33,-0.68
1920,0.62,0.53,2.83,4.93,11.63,11.73,14.84,13.73,11.73,6.63,1.92,1.12
1921,1.12,-0.57,1.63,3.13,9.13,11.33,15.33,14.63,11.33,8.63,2.02,-1.18
1922,-2.78,-1.58,2.43,3.33,9.83,12.74,14.03,15.33,9.83,6.23,0.92,-0.77
1923,-1.38,-0.07,1.33,3.63,9.03,9.73,15.43,15.73,10.73,8.33,4.43,-0.88
1924,-2.98,-1.78,0.53,4.62,10.33,12.34,14.73,12.43,11.73,6.93,2.92,1.12
