Variable:,tasmin
Country:,Slovakia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-11.71,-10.00,-2.79,1.80,6.69,10.71,11.98,10.95,6.66,4.35,-2.54,-2.85
1902,-3.39,-5.59,-3.04,0.62,3.37,8.64,9.66,10.35,6.47,2.43,-5.10,-9.82
1903,-8.62,-2.95,-0.56,-0.09,6.24,8.72,10.57,10.21,7.24,3.43,0.14,-4.87
1904,-8.11,-3.59,-2.63,2.15,5.59,9.72,12.47,11.18,6.38,3.39,-2.60,-4.72
1905,-10.65,-5.20,-1.51,0.43,6.42,10.85,12.40,11.73,8.55,-0.01,-0.32,-4.63
1906,-6.98,-5.28,-2.53,2.87,7.66,9.26,11.58,10.08,6.47,2.64,1.37,-7.53
1907,-8.56,-8.17,-4.91,-0.20,8.30,9.90,10.00,10.44,6.69,6.81,-2.70,-4.63
1908,-8.63,-4.32,-3.15,0.87,9.06,11.38,11.13,9.44,5.78,1.77,-5.59,-6.94
1909,-9.13,-9.60,-3.37,1.90,5.34,9.50,10.42,11.54,8.65,5.47,-1.82,-3.33
1910,-5.26,-2.40,-1.78,1.94,7.11,10.94,10.54,10.57,6.77,2.91,-1.72,-2.20
1911,-6.68,-7.25,-1.80,1.70,7.31,9.22,12.32,12.19,7.91,3.07,0.95,-3.13
1912,-10.24,-3.98,0.44,0.22,6.13,10.81,11.43,9.67,3.94,0.71,-3.01,-3.45
1913,-8.00,-6.48,-0.07,2.24,6.06,9.36,9.13,9.33,7.49,3.31,0.98,-3.28
1914,-10.63,-6.23,-0.75,3.33,6.64,9.30,11.27,10.70,6.24,2.72,-2.24,-3.07
1915,-4.81,-4.75,-4.06,1.98,7.16,10.94,10.79,9.46,5.21,2.29,-3.21,-1.82
1916,-3.12,-5.09,0.60,2.09,6.70,8.62,11.15,10.42,6.49,2.87,0.80,-2.09
1917,-7.51,-10.62,-4.73,0.09,7.08,11.71,11.82,12.19,8.64,3.77,0.33,-7.09
1918,-5.58,-5.17,-2.11,5.24,6.94,7.93,10.91,10.73,8.64,4.23,-2.01,-3.62
1919,-4.67,-5.76,-1.54,1.32,3.23,9.11,9.69,10.35,8.97,2.35,-3.09,-5.02
1920,-4.26,-4.20,-0.06,5.88,8.65,8.48,12.07,10.32,8.21,-0.28,-5.23,-4.69
1921,-1.98,-5.66,-0.85,1.81,8.22,8.68,12.09,11.61,6.61,3.44,-3.92,-6.17
1922,-9.66,-8.89,-0.99,1.24,7.12,10.32,11.28,10.71,6.27,0.97,-3.05,-4.51
1923,-4.69,-5.35,-1.15,0.78,8.11,7.32,11.87,10.47,7.91,5.80,0.51,-5.72
1924,-10.40,-8.35,-3.92,1.15,8.85,10.20,11.01,10.03,9.14,3.32,-2.71,-5.81
1925,-4.92,-1.49,-2.86,2.60,8.30,8.28,11.41,10.82,6.54,3.15,-0.55,-7.11
1926,-6.84,-1.88,-2.16,3.33,6.57,9.08,11.60,9.45,8.35,3.74,4.10,-4.62
1927,-4.71,-6.48,0.55,2.41,5.61,10.52,12.31,11.93,8.81,3.02,-0.65,-9.13
1928,-6.09,-5.19,-4.31,2.65,4.69,8.67,13.28,11.55,7.77,3.33,1.98,-5.99
1929,-11.60,-12.59,-5.46,-1.31,8.19,9.19,11.54,12.28,7.43,5.09,0.92,-3.11
1930,-5.52,-6.44,-0.75,3.56,6.34,11.54,11.41,10.74,8.85,3.79,1.20,-5.14
1931,-6.09,-6.07,-5.83,0.02,9.59,11.34,12.64,10.86,5.04,1.70,-1.66,-6.19
1932,-6.61,-10.57,-6.50,1.99,7.90,8.87,13.46,12.27,10.75,4.71,-0.86,-5.06
1933,-10.05,-5.35,-2.35,0.13,5.88,8.05,11.44,10.88,6.81,3.39,-1.11,-10.44
1934,-7.05,-5.34,0.70,4.77,8.57,9.50,11.57,11.95,8.89,4.12,0.95,-1.20
1935,-8.90,-5.47,-3.83,2.31,4.89,11.50,11.02,10.96,7.88,5.72,-0.67,-4.47
1936,-2.85,-4.88,0.54,2.72,8.52,10.41,13.13,9.76,7.27,1.14,-0.81,-4.55
1937,-9.34,-4.42,0.20,2.45,9.87,11.32,11.82,11.36,8.94,4.40,-0.41,-4.97
1938,-5.80,-4.23,1.29,-0.10,5.68,11.55,12.04,12.20,6.86,4.87,1.27,-6.93
1939,-4.69,-3.43,-3.95,4.79,6.50,10.67,12.27,11.60,7.59,2.48,0.05,-7.01
1940,-15.45,-13.26,-5.12,1.98,5.52,9.87,11.06,8.94,7.45,3.01,1.05,-9.44
1941,-10.79,-5.25,-1.73,1.10,4.38,9.29,11.14,9.87,5.61,2.39,-3.99,-4.89
1942,-15.80,-9.76,-5.65,1.00,6.74,9.49,10.87,11.54,10.57,4.71,-1.60,-3.90
1943,-10.45,-3.49,-1.57,3.47,5.28,8.92,10.82,12.73,9.27,4.54,-1.33,-5.32
