Variable:,tasmin
Country:,Zimbabwe
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.20,18.56,17.49,15.01,11.02,7.47,7.14,9.67,12.15,16.12,17.63,17.90
1902,18.19,18.23,16.95,15.94,10.71,8.31,8.71,10.16,14.16,15.12,18.19,19.40
1903,18.84,18.93,17.79,16.37,12.68,8.30,7.60,10.15,13.43,16.84,17.60,17.78
1904,17.47,17.04,15.61,14.90,10.20,8.99,6.86,9.23,11.32,16.41,18.60,17.11
1905,18.72,18.09,15.92,14.18,10.58,9.46,6.68,10.32,14.23,18.42,18.29,19.26
1906,19.70,17.15,16.69,13.86,11.25,8.06,7.19,8.86,12.73,15.53,16.28,18.04
1907,18.14,17.44,16.70,14.08,10.81,7.55,5.61,7.71,12.29,16.18,17.30,17.83
1908,17.98,17.67,16.87,14.60,9.72,8.77,7.33,10.47,13.92,17.86,18.06,18.47
1909,18.10,18.06,16.53,13.54,10.72,7.14,7.73,10.20,12.64,16.59,17.53,18.98
1910,18.02,17.66,16.35,13.63,9.68,7.54,6.89,9.43,12.21,15.45,16.01,17.88
1911,17.38,17.19,15.64,13.32,9.99,6.33,6.01,8.55,11.47,17.28,18.17,20.27
1912,18.86,19.02,16.10,15.67,12.68,7.39,6.45,8.55,12.66,15.87,20.01,18.25
1913,18.83,18.61,16.43,14.80,11.03,7.28,8.10,9.83,13.25,17.22,18.42,20.19
1914,19.45,17.78,17.76,16.37,11.58,8.66,7.04,9.22,14.63,17.89,18.78,18.88
1915,18.71,17.98,16.47,15.35,10.54,8.59,8.67,9.56,13.16,17.21,18.54,18.77
1916,18.30,19.47,17.76,14.66,10.00,8.20,7.82,8.77,13.38,18.12,17.96,18.32
1917,18.22,18.73,17.14,14.55,11.80,8.77,7.45,9.17,12.58,17.16,18.24,17.14
1918,16.65,17.41,16.18,12.45,9.40,7.10,7.52,7.42,13.25,17.95,17.88,17.93
1919,18.04,17.47,16.36,15.03,8.88,7.68,7.69,8.55,12.73,15.74,17.45,18.34
1920,19.52,18.49,16.73,13.55,11.20,7.77,7.74,9.21,14.28,16.97,18.61,19.14
1921,18.89,18.72,17.48,14.42,10.53,8.68,6.79,8.51,12.52,16.87,17.50,17.92
1922,19.68,18.36,18.26,14.89,11.44,9.38,8.00,11.00,13.38,15.74,18.57,19.48
1923,18.23,17.88,16.67,14.32,10.70,8.68,7.61,10.12,12.48,17.07,19.17,18.57
1924,18.92,17.85,17.69,13.04,11.17,8.90,7.32,9.09,13.28,16.60,18.00,17.84
1925,17.42,17.94,17.16,15.24,9.96,8.34,6.78,8.61,10.83,15.53,18.02,19.31
1926,18.68,19.05,17.03,14.47,10.81,7.92,6.92,8.48,13.19,16.88,17.91,18.52
